date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2017-09-29	16.6	17.1	16.66	16.33	23525.0	0.06	0.36	16.288	15.956	15.732	36096.62	26353.81	22943.63
2017-09-28	16.62	17.25	16.6	16.46	48409.3	-0.02	-0.12	16.058	15.832	15.674	34758.42	25312.41	22880.52
2017-09-27	16.6	16.65	16.62	16.2	43615.6	0.36	2.21	15.836	15.729	15.63	27637.56	22144.9	21499.81
2017-09-26	15.2	16.53	16.26	15.2	49781.4	0.96	6.28	15.656	15.626	15.596	21935.54	19196.74	20679.46
2017-09-25	15.51	15.52	15.3	15.2	15151.81	-0.21	-1.35	15.568	15.566	15.569	17086.86	17651.0	19835.4
2017-09-22	15.62	15.79	15.51	15.43	16834.0	0.02	0.13	15.624	15.566	15.583	16611.0	17694.72	21126.23
2017-09-21	15.66	15.76	15.49	15.45	12805.0	-0.23	-1.46	15.606	15.563	15.605	15866.4	18779.22	21203.41
2017-09-20	15.8	15.89	15.72	15.66	15105.5	-0.1	-0.63	15.622	15.536	15.636	16652.24	20145.85	21893.78
2017-09-19	15.6	16.19	15.82	15.44	25538.0	0.24	1.54	15.596	15.519	15.65	16457.95	19807.55	21742.22
2017-09-18	15.43	15.69	15.58	15.32	12772.5	0.16	1.04	15.564	15.5	15.659	18215.15	18894.25	21412.7
2017-09-15	15.45	15.55	15.42	15.35	13111.0	-0.15	-0.96	15.508	15.507	15.673	18778.45	19533.45	21660.94
2017-09-14	15.59	15.59	15.57	15.39	16734.2	-0.02	-0.13	15.52	15.515	15.693	21692.05	20448.63	21977.03
2017-09-13	15.55	15.62	15.59	15.44	14134.03	-0.07	-0.45	15.45	15.53	15.717	23639.46	20854.72	22381.39
2017-09-12	15.3	15.7	15.66	15.2	34324.0	0.36	2.35	15.442	15.566	15.745	23157.16	22162.17	22997.93
2017-09-11	15.44	15.47	15.3	15.2	15589.0	-0.18	-1.16	15.436	15.572	15.794	19573.36	22019.8	21812.67
2017-09-08	15.17	15.53	15.48	14.97	27679.0	0.26	1.71	15.506	15.6	15.864	20288.45	24557.74	21891.46
2017-09-07	15.48	15.55	15.22	15.2	26471.27	-0.33	-2.12	15.51	15.646	15.925	19205.21	23627.59	21481.87
2017-09-06	15.7	15.7	15.55	15.43	11722.52	-0.08	-0.51	15.61	15.736	15.995	18069.97	23641.72	21504.4
2017-09-05	15.69	15.78	15.63	15.46	16405.01	-0.02	-0.13	15.69	15.78	16.063	21167.17	23676.89	21875.72
2017-09-04	15.65	15.8	15.65	15.41	19164.43	0.15	0.97	15.708	15.817	16.141	24466.24	23931.15	22419.13
2017-09-01	15.62	15.84	15.5	15.44	22262.81	-0.22	-1.4	15.694	15.839	16.202	28827.03	23788.43	22237.2
2017-08-31	15.75	15.89	15.72	15.62	20795.1	-0.23	-1.44	15.782	15.871	16.285	28049.98	23505.44	22475.99
2017-08-30	15.72	16.1	15.95	15.53	27208.52	0.23	1.46	15.862	15.904	16.357	29213.46	23908.06	23463.77
2017-08-29	15.57	15.91	15.72	15.01	32900.34	0.14	0.9	15.87	15.923	16.406	26186.6	23833.7	24760.14
2017-08-28	16.0	16.0	15.58	15.47	40968.4	-0.36	-2.26	15.926	16.016	16.488	23396.06	21605.55	28117.32
2017-08-25	16.12	16.3	15.94	15.77	18377.53	-0.18	-1.12	15.984	16.128	16.548	18749.83	19225.17	28798.22
2017-08-24	15.82	17.0	16.12	15.81	26612.5	0.13	0.81	15.96	16.204	16.56	18960.89	19336.14	30790.19
2017-08-23	16.0	16.18	15.99	15.81	12074.21	-0.01	-0.06	15.946	16.254	16.589	18602.67	19367.08	33023.42
2017-08-22	15.87	16.2	16.0	15.8	18947.68	0.13	0.82	15.976	16.346	16.638	21480.8	20074.56	37421.73
2017-08-21	15.8	16.08	15.87	15.8	17737.21	0.05	0.32	16.106	16.464	16.669	19815.03	20907.11	39663.94
2017-08-18	16.01	16.01	15.82	15.6	19432.87	-0.23	-1.43	16.272	16.565	16.705	19700.52	20685.97	44989.09
2017-08-17	16.54	16.54	16.05	15.8	24821.36	-0.09	-0.56	16.448	16.698	16.717	19711.38	21446.55	50818.39
2017-08-16	16.65	16.78	16.14	15.88	26464.89	-0.51	-3.06	16.562	16.809	16.644	20131.49	23019.49	51192.4
2017-08-15	16.69	16.88	16.65	16.59	10618.8	-0.05	-0.3	16.716	16.888	16.562	18668.31	25686.58	52947.6
2017-08-14	16.69	16.99	16.7	16.59	17164.68	0.0	0.0	16.822	16.96	16.46	21999.19	34629.1	59305.95
2017-08-11	16.5	16.96	16.7	16.5	19487.18	0.08	0.48	16.858	16.967	16.339	21671.43	38371.27	60232.27
2017-08-10	16.78	17.0	16.62	16.5	26921.89	-0.29	-1.72	16.948	16.916	16.319	23181.71	42244.24	62376.74
2017-08-09	17.24	17.29	16.91	16.83	19149.0	-0.27	-1.57	17.056	16.923	16.303	25907.48	46679.76	64346.46
2017-08-08	16.87	17.21	17.18	16.7	27273.22	0.3	1.78	17.06	16.929	16.267	32704.84	54768.9	67005.13
2017-08-07	17.0	17.2	16.88	16.84	15525.85	-0.27	-1.57	17.098	16.873	16.21	47259.01	58420.78	69488.38
2017-08-04	17.0	17.18	17.15	16.88	27038.58	-0.01	-0.06	17.076	16.845	16.165	55071.12	69292.2	73085.88
2017-08-03	16.93	17.35	17.16	16.75	40550.77	0.23	1.36	16.884	16.735	16.095	61306.76	80190.24	76374.97
2017-08-02	17.42	17.6	16.93	16.9	53135.78	-0.44	-2.53	16.79	16.478	16.013	67452.03	79365.32	79130.68
2017-08-01	16.77	17.53	17.37	16.77	100044.06	0.6	3.58	16.798	16.236	15.937	76832.95	80208.63	81296.92
2017-07-31	16.58	17.17	16.77	16.49	54586.4	0.58	3.58	16.648	15.959	15.806	69582.55	83982.8	79592.63
2017-07-28	16.51	16.8	16.19	16.07	58216.81	-0.5	-3.0	16.614	15.71	15.71	83513.28	82093.26	82093.26
2017-07-27	16.8	17.41	16.69	16.69	71277.11	-0.28	-1.65	16.586	15.657	15.657	99073.72	84746.2	84746.2
2017-07-26	16.49	17.33	16.97	16.49	100040.38	0.35	2.11	16.166	15.528	15.528	91278.61	86429.83	86429.83
2017-07-25	16.67	16.95	16.62	16.31	63792.05	0.02	0.12	15.674	15.321	15.321	83584.31	84485.47	84485.47
2017-07-24	16.43	17.27	16.6	16.31	124240.05	0.55	3.43	15.27	15.105	15.105	98383.04	87934.37	87934.37
2017-07-21	14.34	16.05	16.05	14.34	136019.03	1.46	10.01	14.806	14.806	14.806	80673.23	80673.23	80673.23
2017-07-20	14.34	14.72	14.59	14.34	32301.54	0.08	0.55	14.495	14.495	14.495	66836.79	66836.79	66836.79
2017-07-19	14.4	14.77	14.51	14.05	61568.87	-0.09	-0.62	14.463	14.463	14.463	78348.53	78348.53	78348.53
2017-07-18	12.85	15.45	14.6	12.85	137785.73	0.32	2.24	14.44	14.44	14.44	86738.37	86738.37	86738.37
2017-07-17	14.28	14.28	14.28	14.28	35691.0	-1.59	-10.02	14.28	14.28	14.28	35691.0	35691.0	35691.0
